[run number];breeding-habitat-number;feeding-habitat-number;percent-specialized-bees;breeding-habitat-size;max-distance-breed;max-distance-feed;feeding-habitat-size;bee-number;min-distance-breed;min-distance-feed;[step];count specialized-bees;count bees - count specialized-bees;count bees;count crops;count wildflowers;count flowers with [color = cyan];count flowers;sum [seeds] of crops;count agriculture;count feeding-habitat;count breeding-habitat
1104;3;3;0.5;3;1;1;3;10;5;3;2199;7;31;38;25451;270;259;25721;2103;2547;27;27
1102;3;3;0.5;3;1;1;3;10;5;3;2199;22;42;64;25452;270;267;25722;3048;2547;27;27
1095;3;3;0.5;3;1;1;3;10;3;3;2199;53;63;116;25443;270;251;25713;4395;2547;27;27
1105;3;3;0.5;3;1;1;3;10;5;5;2199;22;37;59;25435;270;260;25705;2625;2547;27;27
1109;3;3;0.5;3;1;1;5;10;1;1;2199;13;35;48;24974;750;728;25724;2126;2499;75;27
1106;3;3;0.5;3;1;1;3;10;5;5;2199;17;61;78;25447;270;231;25717;4301;2547;27;27
1110;3;3;0.5;3;1;1;5;10;1;1;2199;43;62;105;24969;670;577;25639;3903;2499;75;27
1107;3;3;0.5;3;1;1;3;10;5;5;2199;19;131;150;25457;270;202;25727;9439;2547;27;27
1112;3;3;0.5;3;1;1;5;10;1;3;2199;48;107;155;24964;747;703;25711;7126;2499;75;27
1116;3;3;0.5;3;1;1;5;10;1;5;2199;43;67;110;24975;738;716;25713;4700;2499;75;27
1108;3;3;0.5;3;1;1;5;10;1;1;2199;69;144;213;24977;750;664;25727;9672;2499;75;27
1113;3;3;0.5;3;1;1;5;10;1;3;2199;72;90;162;24968;750;734;25718;6025;2499;75;27
1114;3;3;0.5;3;1;1;5;10;1;5;2199;63;89;152;24954;750;743;25704;6073;2499;75;27
1115;3;3;0.5;3;1;1;5;10;1;5;2199;56;148;204;24976;750;720;25726;9996;2499;75;27
1111;3;3;0.5;3;1;1;5;10;1;3;2199;54;157;211;24978;750;715;25728;10550;2499;75;27
1118;3;3;0.5;3;1;1;5;10;3;1;2199;50;123;173;24967;750;676;25717;8378;2499;75;27
1119;3;3;0.5;3;1;1;5;10;3;1;2199;72;90;162;24971;750;717;25721;5903;2499;75;27
1117;3;3;0.5;3;1;1;5;10;3;1;2199;75;137;212;24968;750;722;25718;9242;2499;75;27
1121;3;3;0.5;3;1;1;5;10;3;3;2199;60;83;143;24963;750;586;25713;5313;2499;75;27
1126;3;3;0.5;3;1;1;5;10;5;1;2199;12;70;82;25213;500;463;25713;4653;2524;50;27
1124;3;3;0.5;3;1;1;5;10;3;5;2199;53;83;136;24967;750;729;25717;5895;2499;75;27
1123;3;3;0.5;3;1;1;5;10;3;5;2199;43;121;164;24969;742;524;25711;8269;2499;75;27
1125;3;3;0.5;3;1;1;5;10;3;5;2199;41;88;129;24965;733;712;25698;5976;2499;75;27
1120;3;3;0.5;3;1;1;5;10;3;3;2199;77;118;195;24954;750;727;25704;7831;2499;75;27
1128;3;3;0.5;3;1;1;5;10;5;1;2199;13;66;79;24969;720;711;25689;4267;2499;75;27
1122;3;3;0.5;3;1;1;5;10;3;3;2199;77;116;193;24956;750;690;25706;7764;2499;75;27
1135;3;3;0.5;5;1;1;1;10;1;1;2199;0;3;3;25215;30;27;25245;194;2523;3;75
1136;3;3;0.5;5;1;1;1;10;1;1;2199;0;7;7;25206;30;30;25236;481;2523;3;75
1138;3;3;0.5;5;1;1;1;10;1;3;2199;0;6;6;25221;30;23;25251;381;2523;3;75
1137;3;3;0.5;5;1;1;1;10;1;1;2199;0;8;8;25214;26;20;25240;558;2523;3;75
1127;3;3;0.5;3;1;1;5;10;5;1;2199;64;67;131;25213;500;490;25713;4694;2524;50;27
1139;3;3;0.5;5;1;1;1;10;1;3;2199;0;4;4;25209;30;30;25239;251;2523;3;75
1130;3;3;0.5;3;1;1;5;10;5;3;2199;35;77;112;24977;717;684;25694;5122;2499;75;27
1131;3;3;0.5;3;1;1;5;10;5;3;2199;49;45;94;24970;649;504;25619;3138;2499;75;27
1140;3;3;0.5;5;1;1;1;10;1;3;2199;0;1;1;25212;30;29;25242;69;2523;3;75
1141;3;3;0.5;5;1;1;1;10;1;5;2199;0;1;1;25213;30;30;25243;80;2523;3;75
